kauza	datum	medium	titulek	strana	rubrika	autor	delka
capihnizdo	22.03.2016	Právo	Protikorupční aktivisté jdou od Babiše	02	Zpravodajství	Karolina Brožová	5094
capihnizdo	22.03.2016	Právo	Kdo to komu spočítá	06	Publicistika	Lukáš Jelínek	3015
capihnizdo	22.03.2016	Právo	Koalice měla počkat na výsledky šetření	07	Publicistika	Zdeněk Jičínský	2839
capihnizdo	21.03.2016	Mladá fronta DNES	Sobotka žehlí spory v koalici	02	Z domova	(iDNES.cz)	2036
capihnizdo	21.03.2016	Hospodářské noviny	ČAPÍ HNÍZDO VE SNĚMOVNĚ	01	Titulní strana		89
capihnizdo	21.03.2016	Právo	Kdy a kde se lavina zastaví?	06	Publicistika	Lukáš Jelínek	3087
capihnizdo	21.03.2016	Právo	Sobotka: Ke změnám není důvod	02	Zpravodajství	(nig)	3712
capihnizdo	21.03.2016	Lidové noviny	Rozpad koalice Sobotka nečeká	03	Domov	MARTIN SHABU	3797
capihnizdo	21.03.2016	Hospodářské noviny	Babišovo hnízdo: pravice chystá útok na Sobotku	06	Události	Václav Dolejší, Radek Bartoníček	3331
capihnizdo	21.03.2016	Lidové noviny	Cortés: Čapí se neříká	20	Poslední strana	RICHARD CORTÉS	598
capihnizdo	21.03.2016	Právo	Grilovačka	06	Publicistika	Josef Koukal	2414
capihnizdo	19.03.2016	Právo	Čapí hnízdo a kukaččí vejce	06	Publicistika	Jan Keller	2203
capihnizdo	19.03.2016	Lidové noviny	Vláda vydrží, ale Babiš musí vysvětlit hnízdo	02	Domov	KATEŘINA SURMANOVÁ	3708
capihnizdo	19.03.2016	Právo	Babiš otočil, nechá se grilovat	02	Zpravodajství	Oldřich Danda	3030
capihnizdo	19.03.2016	Právo	Neklid mezi poslanci. Šéf ANO je stále napíná	02	Zpravodajství	Naďa Adamičková Marie Königová	2542
capihnizdo	19.03.2016	Právo	Sobotka: Tato vláda je ta nejlepší varianta	02	Zpravodajství	(zpe, Novinky.cz)	2902
capihnizdo	19.03.2016	Mladá fronta DNES	Sobotní zápisník z Malé Strany	15	Názory	Miroslav Korecký	2511
capihnizdo	19.03.2016	Právo	Když se ozve minulost	06	Publicistika	Lukáš Jelínek	3186
capihnizdo	19.03.2016	Mladá fronta DNES	Proč ČSSD a KDU tančí kolem Čapího hnízda	14	Názory		3588
capihnizdo	19.03.2016	Právo	Hejtman Hašek: Kdyby byl Babiš členem ČSSD, ve vládě by už neseděl	01	Titulní strana	Karolina Brožová	14805
capihnizdo	19.03.2016	Právo	Odmítnutý dar dobráka Kalouska	06	Publicistika	Alexandr Mitrofanov	2226
capihnizdo	18.03.2016	Lidové noviny	Koaliční čapí tanec	10	Názory	Martin Zvěřina	2402
capihnizdo	18.03.2016	Právo	ČSSD váhá: co s Čapím hnízdem?	01	Titulní strana	(dan)	2474
capihnizdo	18.03.2016	Hospodářské noviny	Zbav se Babiše, láká pravice Sobotku	01	Titulní strana	Lucie Stuchlíková, Václav Dolejší	4977
